date,demand
20221013T23Z,32925
20221013T22Z,32614
20221013T21Z,32410
20221013T20Z,32941
20221013T19Z,33424
20221013T18Z,33253
20221013T17Z,32013
20221013T16Z,31255
20221013T15Z,29613
20221013T14Z,27552
20221013T13Z,26151
20221013T12Z,25985
20221013T11Z,26504
20221013T10Z,26994
20221013T09Z,28119
20221013T08Z,29469
20221013T07Z,31349
20221013T06Z,33486
20221013T05Z,35174
20221013T04Z,36706
20221013T03Z,37317
20221013T02Z,37091
20221013T01Z,36320
20221013T00Z,35196
20221012T23Z,34128
20221012T22Z,33260
20221012T21Z,32798
20221012T20Z,32994
20221012T19Z,33378
20221012T18Z,33731
20221012T17Z,32315
20221012T16Z,31301
20221012T15Z,29729
20221012T14Z,27551
20221012T13Z,26117
20221012T12Z,25691
20221012T11Z,26413
20221012T10Z,26892
20221012T09Z,28084
20221012T08Z,29538
20221012T07Z,31728
20221012T06Z,33888
20221012T05Z,35514
20221012T04Z,37007
20221012T03Z,37643
20221012T02Z,37352
20221012T01Z,36685
20221012T00Z,36032
20221011T23Z,34308
20221011T22Z,32887
20221011T21Z,32325
20221011T20Z,32473
20221011T19Z,33329
20221011T18Z,33869
20221011T17Z,32618
20221011T16Z,31521
20221011T15Z,29962
20221011T14Z,27908
20221011T13Z,26854
20221011T12Z,26899
20221011T11Z,26937
20221011T10Z,27612
20221011T09Z,28992
20221011T08Z,30289
20221011T07Z,32413
20221011T06Z,34717
20221011T05Z,35763
20221011T04Z,38179
20221011T03Z,39094
20221011T02Z,39316
20221011T01Z,38635
20221011T00Z,37273
20221010T23Z,35639
20221010T22Z,34404
20221010T21Z,33674
20221010T20Z,33722
20221010T19Z,34453
20221010T18Z,34602
20221010T17Z,32709
20221010T16Z,31127
20221010T15Z,29492
20221010T14Z,27345
20221010T13Z,26119
20221010T12Z,25798
20221010T11Z,25939
20221010T10Z,26316
20221010T09Z,27300
20221010T08Z,28676
20221010T07Z,30808
20221010T06Z,32921
20221010T05Z,34550
20221010T04Z,36035
20221010T03Z,36859
20221010T02Z,36766
20221010T01Z,36115
20221010T00Z,34604
20221009T23Z,33034
20221009T22Z,31082
20221009T21Z,29892
20221009T20Z,29528
20221009T19Z,29931
20221009T18Z,29752
20221009T17Z,28737
20221009T16Z,26743
20221009T15Z,25840
20221009T14Z,25345
20221009T13Z,25356
20221009T12Z,25851
20221009T11Z,26274
20221009T10Z,27135
20221009T09Z,28412
20221009T08Z,29994
20221009T07Z,32128
20221009T06Z,34010
20221009T05Z,35516
20221009T04Z,37094
20221009T03Z,38162
20221009T02Z,38337
20221009T01Z,38013
20221009T00Z,36898
20221008T23Z,35141
20221008T22Z,33326
20221008T21Z,32227
20221008T20Z,31476
20221008T19Z,31234
20221008T18Z,31376
20221008T17Z,30470
20221008T16Z,28186
20221008T15Z,27464
20221008T14Z,26674
20221008T13Z,26334
20221008T12Z,26325
20221008T11Z,26931
20221008T10Z,27973
20221008T09Z,29485
20221008T08Z,31059
20221008T07Z,33263
20221008T06Z,35317
20221008T05Z,36978
20221008T04Z,38809
20221008T03Z,40103
20221008T02Z,41254
20221008T01Z,41399
20221008T00Z,40486
20221007T23Z,38714
20221007T22Z,37253
20221007T21Z,35847
20221007T20Z,34435
20221007T19Z,34124
20221007T18Z,34237
20221007T17Z,33491
20221007T16Z,31880
20221007T15Z,30228
20221007T14Z,28263
20221007T13Z,27298
20221007T12Z,27504
20221007T11Z,27669
20221007T10Z,28212
20221007T09Z,29278
20221007T08Z,30718
20221007T07Z,33014
20221007T06Z,35337
20221007T05Z,37305
20221007T04Z,39274
20221007T03Z,40328
20221007T02Z,40906
20221007T01Z,41080
20221007T00Z,39670
20221006T23Z,37878
20221006T22Z,36347
20221006T21Z,34579
20221006T20Z,33972
20221006T19Z,33822
20221006T18Z,33917
20221006T17Z,33454
20221006T16Z,31200
20221006T15Z,30040
20221006T14Z,28364
20221006T13Z,27037
20221006T12Z,26823
20221006T11Z,27243
20221006T10Z,27788
20221006T09Z,29006
20221006T08Z,30731
20221006T07Z,33193
20221006T06Z,35735
20221006T05Z,37764
20221006T04Z,39822
20221006T03Z,41264
